BILLING_ID,COUPON_ID,DELIVERY_ID,TIP_DETAILS,PAYMENT_METHOD,TRANSACTION_STATUS,NET_TOTAL,CONVENIENCE_FEE,ORDER_DELIVERY_CHARGE,PAYMENT_TXN_ID,IS_BANK_DISCOUNT,SAVINGS_SHOWN_TO_CUSTOMER,TOTAL_TAX,ORDER_ID
236756055,66a7f49d-d597-4bd6-add0-f5220429c475,236756055,PRE_ORDER_TIPPING,AmazonPay,success,99.0000,0.0000,27.0000,125572966427,FALSE,TRUE,5,125572966427
236756055,66a7f49d-d597-4bd6-add0-f5220429c475,236756055,PRE_ORDER_TIPPING,AmazonPay,refund-initiated,98.0000,0.0000,26.0000,125143543295,FALSE,,5,125143543295
236756055,280ebc1e-9fac-4485-8a5e-50cdb84e5a6e,236756055,PRE_ORDER_TIPPING,AmazonPay,success,144.0000,0.0000,36.0000,121204653395,FALSE,TRUE,6,121204653395
236756055,dd33f3ae-9cb4-463b-a9d3-be7a77a14a5e,236756055,PRE_ORDER_TIPPING,AmazonPay,refund-initiated,121.0000,0.0000,32.0000,120392185822,FALSE,,5,120392185822
236756055,0ade6901-af2a-4e71-ae0f-807c4150e967,236756055,PRE_ORDER_TIPPING,Bank,success,114.0000,0.0000,26.0000,118059393783,FALSE,TRUE,5,118059393783
236756055,0ade6901-af2a-4e71-ae0f-807c4150e967,236756055,PRE_ORDER_TIPPING,Bank,success,98.0000,0.0000,26.0000,117195232180,FALSE,TRUE,4,117195232180
236756055,0ade6901-af2a-4e71-ae0f-807c4150e967,236756055,PRE_ORDER_TIPPING,AmazonPay,success,114.0000,0.0000,26.0000,117109197869,FALSE,TRUE,5,117109197869
236756055,0ade6901-af2a-4e71-ae0f-807c4150e967,236756055,PRE_ORDER_TIPPING,AmazonPay,success,102.0000,0.0000,26.0000,116760242587,FALSE,TRUE,5,116760242587
199428396,5b23451f-d634-4416-8fff-e86cc0f25c74,199428396,PRE_ORDER_TIPPING,Bank,success,102.0000,0.0000,26.0000,115800086117,FALSE,TRUE,5,115800086117
199428396,0aa9e2fc-3c86-41a3-8a97-ee45715dfdc4,199428396,PRE_ORDER_TIPPING,Bank,success,125.0000,0.0000,26.0000,115035338459,FALSE,TRUE,6,115035338459
199428396,8181e93a-ca34-4c3d-abab-01777f795bba,199428396,PRE_ORDER_TIPPING,Bank,success,49.0000,0.0000,41.0000,98361715946,TRUE,TRUE,4,98361715946
199428396,6d9da159-8172-4324-9604-fd8c830c35a0,199428396,PRE_ORDER_TIPPING,Bank,success,121.0000,0.0000,26.0000,98181749565,TRUE,TRUE,6,98181749565
152467042,3113b842-3b86-44be-bdd5-e0062abed985,152467042,PRE_ORDER_TIPPING,Bank,success,136.0000,0.0000,36.0000,96318795412,TRUE,TRUE,0,96318795412
33365767,eb635799-9cc0-44bf-90a0-b89bc753b2ad,33365767,,AmazonPay,success,195.0000,0.0000,30.0000,86541040872,TRUE,TRUE,8,86541040872
33365767,eb635799-9cc0-44bf-90a0-b89bc753b2ad,33365767,,Credit/Debit card,success,159.0000,0.0000,30.0000,86370321095,TRUE,TRUE,6,86370321095
33365767,7d3545be-4112-440d-8ed0-0163606a6896,33365767,,Credit/Debit card,success,162.0000,0.0000,0.0000,62864196269,FALSE,TRUE,9,62864196269
152467042,a5edba23-9ce4-4637-944e-d528eb9131f2,152467042,,Bank,success,111.0000,0.0000,0.0000,62708109953,FALSE,TRUE,6,62708109953
152467042,0bb6f1e2-b870-495c-8438-a89b296b9a8c,152467042,,Cash,success,137.0000,0.0000,0.0000,62605404666,FALSE,TRUE,7,62605404666
33365767,b3a396d0-dbf3-4f4d-86d3-8368ad0fcb29,33365767,,Credit/Debit card,success,125.0000,0.0000,0.0000,62518100998,FALSE,TRUE,0,62518100998
33365767,b3a396d0-dbf3-4f4d-86d3-8368ad0fcb29,33365767,,Credit/Debit card,success,97.0000,0.0000,0.0000,62350754864,FALSE,TRUE,0,62350754864
33365767,969bf00a-51e6-48a4-983b-8e0b390a681c,33365767,,AmazonPay,success,118.0000,0.0000,0.0000,61917513572,FALSE,TRUE,0,61917513572
33365767,4b69fa58-b65e-4543-9bbf-b9119746c259,33365767,,Credit/Debit card,success,102.0000,0.0000,0.0000,61830750431,FALSE,TRUE,0,61830750431
33365767,7b29aaa0-0ea0-488f-82ae-26614822e8c7,33365767,,Credit/Debit card,success,117.0000,0.0000,0.0000,61742858959,FALSE,TRUE,0,61742858959
199428396,6d9da159-8172-4324-9604-fd8c830c35a0,199428396,PRE_ORDER_TIPPING,PhonePe,success,146.0000,0.0000,26.0000,97415810830,TRUE,TRUE,7,97415810830
199428396,cfb3073e-3ddd-447f-81d7-24d2d28ec1b9,199428396,PRE_ORDER_TIPPING,PhonePe,success,146.0000,0.0000,26.0000,96974581303,TRUE,TRUE,7,96974581303
152467042,ba8f9f97-aa83-45df-a837-803609cd4fbb,152467042,,PhonePe,success,111.0000,0.0000,0.0000,61070715744,FALSE,TRUE,6,61070715744
33365767,ad977957-10eb-4b63-9a35-4ca6493547f5,33365767,,AmazonPay,success,210.0000,0.0000,0.0000,60970389459,FALSE,TRUE,15,60970389459
33365767,0d918252-4287-4567-8f63-79b0c58f46aa,33365767,,Credit/Debit card,success,105.0000,0.0000,0.0000,60580826261,FALSE,TRUE,5,60580826261
33365767,32ca7e12-15b7-46a9-b1de-6fc98ea8ca5b,33365767,,Credit/Debit card,success,93.0000,0.0000,0.0000,60446707288,FALSE,TRUE,4,60446707288
65429261,fdb174ff-8768-4947-a687-e4a25c7ff370,65429261,,AmazonPay,success,115.0000,0.0000,20.0000,56303325445,FALSE,TRUE,6,56303325445
3306448,68f3a003-f45a-474a-8802-fc15b1da0b0b,3306448,PRE_ORDER_TIPPING,Credit/Debit card,refund-initiated,336.0000,0.0000,0.0000,126549430450,FALSE,,52,126549430450
3306448,9d5dad92-ac18-40b9-95a1-99b567aa67d5,3306448,PRE_ORDER_TIPPING,Credit/Debit card,success,201.0000,0.0000,0.0000,125940270618,FALSE,TRUE,10,125940270618
226363309,ace2c646-211e-484a-b426-23c32d17d694,226363309,PRE_ORDER_TIPPING,PhonePe,success,94.0000,0.0000,21.0000,112344906206,FALSE,TRUE,0,112344906206
226362833,77021d61-b4f6-49b6-9fd9-910987b11b26,226362833,PRE_ORDER_TIPPING,Cash,success,145.0000,0.0000,26.0000,112084260175,FALSE,TRUE,0,112084260175
164952370,38c17a18-10ce-46eb-b9b4-238356dea611,164952370,,Credit/Debit card,refund-initiated,229.0000,0.0000,0.0000,121443518508,FALSE,,11,121443518508
164952370,a48b3837-a360-4770-8d1f-fb31b3b746a0,164952370,PRE_ORDER_TIPPING,Credit/Debit card,success,104.0000,0.0000,34.0000,93453694820,TRUE,TRUE,4,93453694820
164952370,13ae89d2-f074-4a7e-b452-c2397f01e864,164952370,,Credit/Debit card,success,171.0000,10.0000,32.0000,92585031960,TRUE,TRUE,7,92585031960
164952370,ea0cf51f-8460-4f89-a6a8-b21dd8f5be9a,164952370,PRE_ORDER_TIPPING,Credit/Debit card,success,104.0000,0.0000,34.0000,92388835888,TRUE,TRUE,4,92388835888
164952370,af770ee5-25b4-4c89-bfbb-dd1978364fa8,164952370,PRE_ORDER_TIPPING,Credit/Debit card,success,104.0000,0.0000,34.0000,92303044530,TRUE,TRUE,4,92303044530
164952370,69694b3c-b535-4bc2-a757-044efab91dbb,164952370,PRE_ORDER_TIPPING,Credit/Debit card,success,186.0000,0.0000,34.0000,92158776512,TRUE,TRUE,8,92158776512
164952370,619f68b2-cbe5-45f1-84a9-8953671dad8d,164952370,,Credit/Debit card,success,119.0000,0.0000,34.0000,92041621638,TRUE,TRUE,5,92041621638
191741301,c839bea3-9033-4c21-bf8b-3466a8947090,191741301,,Credit/Debit card,success,175.0000,10.0000,34.0000,91899336299,TRUE,TRUE,7,91899336299
239351347,3bc69173-f213-416a-8307-937ab54a081b,239351347,PRE_ORDER_TIPPING,Credit/Debit card,success,180.0000,0.0000,26.0000,125075214716,TRUE,TRUE,11,125075214716
239351347,286d2a53-8b6e-4229-bb4f-84a4ad424430,239351347,PRE_ORDER_TIPPING,Credit/Debit card,success,227.0000,0.0000,26.0000,124296798958,TRUE,TRUE,14,124296798958
239351347,286d2a53-8b6e-4229-bb4f-84a4ad424430,239351347,,Credit/Debit card,success,273.0000,15.0000,26.0000,123607362012,TRUE,TRUE,0,123607362012
122658738,dfb67617-ac09-4b6c-a953-168b401cd136,122658738,PRE_ORDER_TIPPING,Bank,success,159.0000,0.0000,31.0000,123259539749,FALSE,TRUE,8,123259539749
