RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
32128,"[""American"",""Fast Food""]",TRUE,0,28.67597420000000000000,77.32164280000000000000,4,Dilshad Gardens,Burger King,"Burger King Dilshad Garden Metro Station ,Station Box , New Delhi110095",Delhi,Delhi
81591,[""Fast Food""],FALSE,0,28.47680264890000000000,77.48050745579997000000,3,Greater Noida,Punjabi Chaap Corner,G-16 Vardhman iValley 26/1 Knowledge Park III Greater Noida,Delhi,Delhi
22589,"[""American"",""Fast Food""]",FALSE,0,28.47323000000000000000,77.51489600000002000000,4,Greater Noida,Subway,"Ground Floor, Alfa 1, Commercial Belt, Sunrise Tower, Greater Noida, Noida",Delhi,Delhi
72754,"[""Chinese"",""North Indian"",""Continental"",""Desserts""]",FALSE,0,28.47860100000000000000,77.49355200000002000000,1,Greater Noida,Murliwala Sweets & Restaurant,24 A/3 Knowledge Park 3 Greater Noida-201308,Delhi,Delhi
81591,[""Fast Food""],FALSE,,28.47680264890000000000,77.48050745579997000000,3,Greater Noida,Punjabi Chaap Corner,G-16 Vardhman iValley 26/1 Knowledge Park III Greater Noida,Delhi,Delhi
42146,"[""American"",""Fast Food""]",FALSE,0,28.48920000000000000000,77.51540000000000000000,4,Greater Noida,Burger King,"Burger King , Restaurant no.1, Second floor, Omaxe Connaught Place ,Sector Beta 2, Greater Noida, Uttar Pradesh 201306",Delhi,Delhi
37814,[""Sweets""],TRUE,0,23.04015760000000000000,72.56352050000000000000,2,Ahmedabad,Jayhind Sweets,"101, Purohit House, Stadium Road, Opposite Sports Club, Navrangpura, Ahmedabad",Ahmedabad,Gujarat
108343,"[""Beverages"",""Desserts""]",TRUE,0,23.02603500000000000000,72.52554000000000000000,5,Satellite,Chhaswala,L 23 DEMOCRETIC CO OP SO LTD RATNAMANI TOWER JODHPUR AHMEDABAD AHMEDABAD MUNICIPAL CORPORATION AHMEDABAD,Ahmedabad,Gujarat
36327,"[""Snacks"",""South Indian""]",TRUE,0,23.01175820000000000000,72.50719640000000000000,2,Prahlad Nagar,Choice Snack Bar,FF/12 Campus Corner 2 prahladnagar,Ahmedabad,Gujarat
291258,"[""Indian"",""Italian""]",TRUE,0,23.01146600000000000000,72.50292000000000000000,2,Prahlad Nagar,@ Khichdi,"The Dhaba Restaurant, Ground Floor, Circle P Building, Sarkhej - Gandhinagar Hwy, Prahlad Nagar, Ahmedabad, Gujarat 380015",Ahmedabad,Gujarat
